sentences,article,N_sentence,is_propaganda,affin_score
"US bloggers banned from entering UK
",111111112,1,non-propaganda,-2.0
"Two prominent US bloggers have been banned from entering the UK, the Home Office has said.
",111111112,3,non-propaganda,0.0
"Pamela Geller and Robert Spencer co-founded anti-Muslim group Stop Islamization of America.
",111111112,5,propaganda,-2.0
"They were due to speak at an English Defence League march in Woolwich, where Drummer Lee Rigby was killed.
",111111112,7,non-propaganda,-3.0
"A government spokesman said individuals whose presence ""is not conducive to the public good"" could be excluded by the home secretary.
",111111112,9,non-propaganda,1.0
"He added: ""We condemn all those whose behaviours and views run counter to our shared values and will not stand for extremism in any form.""
",111111112,11,propaganda,-1.0
"'Right decision'
",111111112,13,non-propaganda,0.0
"Ms Geller, of the Atlas Shrugs blog, and Mr Spencer, of Jihad Watch, are also co-founders of the American Freedom Defense Initiative, best known for a pro-Israel ""Defeat Jihad"" poster campaign on the New York subway.
",111111112,14,propaganda,3.0
"On both of their blogs the pair called their bans from entering the UK ""a striking blow against freedom"" and said the ""the nation that gave the world the Magna Carta is dead"".
",111111112,15,propaganda,-1.0
"They were due to attend a march planned by the far-right EDL to mark Armed Forces Day on 29 June, ending in Woolwich, south east London, where soldier Drummer Rigby was murdered last month.
",111111112,17,non-propaganda,0.0
"Keith Vaz, chairman of the Home Affairs Select Committee, who had called for the bloggers to be banned from the UK, said: ""I welcome the home secretary's ban on Pamela Geller and Robert Spencer from entering the country.
",111111112,19,non-propaganda,-2.0
"This is the right decision.
",111111112,20,non-propaganda,0.0
"The UK should never become a stage for inflammatory speakers who promote hate.""
",111111112,21,propaganda,-2.0
"EDL leader Tommy Robinson, meanwhile, criticised the decision and said Ms Geller and Mr Spencer were coming to the UK to lay flowers at the place where Drummer Rigby died.
",111111112,23,non-propaganda,-5.0
"""It's embarrassing for this so-called land of democracy and freedom of speech,"" he said.
",111111112,25,propaganda,0.0
"""How many hate preachers are living in this country?
",111111112,27,propaganda,-3.0
"It just shows what sort of a two-tier system we have here.""
",111111112,28,non-propaganda,0.0
"'Foster hatred'
",111111112,30,non-propaganda,-3.0
"Anti-fascism campaigners Hope Not Hate had campaigned for the pair to not be allowed into the UK.
",111111112,31,non-propaganda,-2.0
"A researcher with the organisation, Matthew Collins, said it was ""delighted"" with the decision.
",111111112,33,propaganda,3.0
"""These two are among some of the most extreme anti-Muslim activists in the world.
",111111112,35,non-propaganda,-1.0
"They've nothing to contribute to life in this country.
",111111112,36,non-propaganda,0.0
"""They're not here to contribute to good community relations.
",111111112,38,non-propaganda,3.0
"They only wanted to come here and help the EDL stir up more trouble.
",111111112,39,non-propaganda,0.0
"Britain doesn't need more hate even just for a few days.""
",111111112,40,non-propaganda,-3.0
"Mr Spencer put up a copy of what appears to be the exclusion decision from the Home Office on the Jihad Watch website, while Ms Geller posted a copy of her letter on her website, Atlas Shrugs.
",111111112,42,non-propaganda,-1.0
"The letters, both dated Tuesday, claim that both activists have fallen within the scope of a list of unacceptable behaviours by making statements which may ""foster hatred"" and lead to ""inter-community violence"" in the UK.
",111111112,44,non-propaganda,-10.0
"Both letters gave examples of anti-Muslim views stated by both and went on to say that should they be allowed to enter the UK the home secretary believes they would ""continue to espouse such views"".
",111111112,46,non-propaganda,-1.0
"Kate Steinle's death at the hands of a Mexican national became a flashpoint in the immigration debate — here's the story behind her killing
",111111113,1,non-propaganda,-5.0
"The surprise acquittal of Jose Ines Garcia Zarate in the shooting death of San Francisco woman Kate Steinle set off a firestorm of outrage Thursday night, as top conservatives and critics of so-called ""sanctuary cities"" pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies.
",111111113,3,propaganda,-18.0
"Garcia Zarate, a 45-year-old Mexican national who was homeless and living in the US illegally when he fired the shot that killed Steinle, was acquitted by a jury on murder and manslaughter charges.
",111111113,5,non-propaganda,-15.0
"The jury convicted him of the lesser charge of being a felon in possession of a gun, which carries a maximum sentence of three years in state prison.
",111111113,6,non-propaganda,-7.0
"Steinle, 32, was fatally shot while she walked along Pier 14 of the San Francisco Bay with her father in July 2015.
",111111113,8,non-propaganda,0.0
"The bullet that pierced her back had ricocheted off the concrete ground after it was fired by Garcia Zarate from a handgun belonging to a federal ranger that had been stolen four days earlier.
",111111113,9,non-propaganda,-4.0
"Garcia Zarate's defense attorneys argued that the shooting was an accident — they said he found the gun wrapped in a T-shirt or cloth under a pier bench and unintentionally discharged it.
",111111113,11,non-propaganda,-3.0
"Lead attorney Matt Gonzalez has argued that the weapon was a SIG Sauer with a ""hair trigger in single-action mode"" — a model well-known for accidental discharges even among experienced shooters.
",111111113,12,propaganda,-2.0
"Gonzalez told the jury, according to the San Francisco Chronicle, that Garcia Zarate had never handled a firearm before, was frightened by the noise of the gunshot, then flung the weapon into the bay where it was later found by a diver.
",111111113,13,non-propaganda,-2.0
