,Unnamed: 0,sentence_id,sentences,article_id,Unnamed: 4,label,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,sentiment_polarity,sentiment_subjectivity,Unnamed: 0,0,GPE,CARDINAL,ORG,NORP,PERSON,DATE,TIME,LOC,ORDINAL,EVENT,WORK_OF_ART,FAC,LAW,PRODUCT,MONEY,QUANTITY,PERCENT,LANGUAGE
0,0,0,"US bloggers banned from entering UK
",111111112,1,non-propaganda,5.9,9.15,9.2,2,4.5,73.85,15.73,3.0,0.0,4th and 5th grade,0.0,0.0,0,,3.0,,,,,,,,,,,,,,,,,
1,1,2,"Two prominent US bloggers have been banned from entering the UK, the Home Office has said.
",111111112,3,non-propaganda,8.9,9.28,7.39,3,7.2,72.16,13.9,9.0,0.0,8th and 9th grade,0.5,1.0,0,,3.0,1.0,1.0,,,,,,,,,,,,,,,
2,2,4,"Pamela Geller and Robert Spencer co-founded anti-Muslim group Stop Islamization of America.
",111111112,5,propaganda,16.4,19.53,9.5,4,9.2,50.84,18.13,9.0,0.0,9th and 10th grade,0.0,0.0,0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,
3,3,6,"They were due to speak at an English Defence League march in Woolwich, where Drummer Lee Rigby was killed.
",111111112,7,non-propaganda,10.1,9.28,7.9,4,7.2,77.57,16.02,8.5,0.0,7th and 8th grade,-0.10833333333333334,0.125,0,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,
4,4,8,"A government spokesman said individuals whose presence ""is not conducive to the public good"" could be excluded by the home secretary.
",111111112,9,non-propaganda,14.6,13.4,8.44,5,11.5,50.16,17.92,14.5,0.0,14th and 15th grade,0.35,0.33333333333333337,0,,1.0,,,,,,,,,,,,,,,,,
5,5,10,"He added: ""We condemn all those whose behaviours and views run counter to our shared values and will not stand for extremism in any form.""
",111111112,11,propaganda,12.7,8.77,7.4,4,9.5,71.48,16.4,14.5,0.0,9th and 10th grade,0.0,0.0,0,,1.0,,,,,,,,,,,,,,,,,
6,6,12,"'Right decision'
",111111112,13,non-propaganda,17.3,10.0,11.63,1,8.8,35.61,20.8,1.0,0.0,11th and 12th grade,0.2857142857142857,0.5357142857142857,0,,1.0,,,,,,,,,,,,,,,,,
7,7,13,"Ms Geller, of the Atlas Shrugs blog, and Mr Spencer, of Jihad Watch, are also co-founders of the American Freedom Defense Initiative, best known for a pro-Israel ""Defeat Jihad"" poster campaign on the New York subway.
",111111112,14,propaganda,20.4,11.04,8.05,6,15.0,51.86,21.07,20.0,0.0,19th and 20th grade,0.3787878787878787,0.2515151515151515,0,,2.0,,1.0,,3.0,,,,,,,,,,,,,
8,8,14,"On both of their blogs the pair called their bans from entering the UK ""a striking blow against freedom"" and said the ""the nation that gave the world the Magna Carta is dead"".
",111111112,15,propaganda,15.6,7.73,7.19,4,11.4,71.82,18.05,17.5,0.0,7th and 8th grade,0.15,0.7,0,,2.0,,1.0,,,,,,,,,,,,,,,
9,9,16,"They were due to attend a march planned by the far-right EDL to mark Armed Forces Day on 29 June, ending in Woolwich, south east London, where soldier Drummer Rigby was murdered last month.
",111111112,17,non-propaganda,17.3,9.24,7.64,5,13.0,62.35,19.48,17.0,0.0,7th and 8th grade,-0.0625,0.22083333333333333,0,,3.0,,1.0,,2.0,2.0,,,,,,,,,,,,
